learner_id,step,week_number,step_number,first_visited_at,last_completed_at
455325bd-585f-4adf-98b8-fdf243cf454f,1.1,1,1,2017-09-18 06:10:51 UTC,2017-09-18 06:12:30 UTC
ac20202a-6c1d-4d6f-94f9-f97f3359c28a,1.1,1,1,2017-09-18 06:18:28 UTC,2017-09-18 09:33:46 UTC
b1821cd4-1971-43bb-8c47-0343d74b0a92,1.1,1,1,2017-09-18 06:26:43 UTC,2017-09-18 06:32:57 UTC
aca3e6e5-41db-4e3f-ad78-4e1a6a975f57,1.1,1,1,2017-09-18 06:30:45 UTC,
793159e4-247e-45ba-b4e8-38fd4ca4fcfd,1.1,1,1,2017-09-18 06:33:43 UTC,2017-09-18 06:35:45 UTC
ff73d115-3b5c-4392-9c1c-50e5bc1f3d95,1.1,1,1,2017-09-18 06:49:14 UTC,2017-09-18 06:50:23 UTC
dcc3788c-c9b3-4f5b-a35a-cc28e1ff1181,1.1,1,1,2017-09-18 06:49:57 UTC,2017-09-18 06:52:10 UTC
dc7c072d-2fc1-4cf8-896f-d0da9e69e43e,1.1,1,1,2017-09-18 07:02:53 UTC,2017-09-18 07:05:04 UTC
81dff1f2-d051-4789-9077-319bfd663857,1.1,1,1,2017-09-18 07:08:35 UTC,2017-09-18 07:10:05 UTC
c0b78edb-bdc6-4284-b442-7bf8bbcb806b,1.1,1,1,2017-09-18 07:23:58 UTC,2017-09-18 07:26:06 UTC
9536a8a0-c0c5-4274-805b-70fd54019825,1.1,1,1,2017-09-18 07:25:32 UTC,2017-09-23 12:52:41 UTC
a4fa6f89-a596-4d00-9397-420a348c398d,1.1,1,1,2017-09-18 07:26:52 UTC,
e4867568-8a07-4d43-8a1b-5a1a28f92695,1.1,1,1,2017-09-18 07:31:51 UTC,2017-09-18 07:35:57 UTC
183aec64-11ae-427b-bc59-49c068b45b5e,1.1,1,1,2017-09-18 07:34:08 UTC,2017-09-18 07:36:33 UTC
b076485c-75c3-4b9c-bd37-511a44d3d38c,1.1,1,1,2017-09-18 07:38:59 UTC,2017-09-18 07:39:54 UTC
32d63497-b7ab-4c49-a5d3-b1459f182ec2,1.1,1,1,2017-09-18 07:45:15 UTC,2017-09-18 07:48:57 UTC
9618e001-a183-4811-b906-c4d729475d6f,1.1,1,1,2017-09-18 07:49:50 UTC,2017-09-18 07:53:25 UTC
97906e20-8cef-438b-8db8-3a597e46ea6b,1.1,1,1,2017-09-18 07:51:43 UTC,2017-09-18 07:53:57 UTC
f23ebfa0-4ec8-4b92-89dd-577d72ac2e7e,1.1,1,1,2017-09-18 07:53:01 UTC,2017-09-18 07:54:44 UTC
da69a7ba-19d6-4865-b956-c20604f58510,1.1,1,1,2017-09-18 08:00:06 UTC,2017-09-18 08:06:02 UTC
464c83bd-006d-4af4-b0d3-80cef6e4f952,1.1,1,1,2017-09-18 08:11:08 UTC,2017-09-18 08:12:06 UTC
02fb7840-55f6-41ef-b1ff-92f24eb3cbf3,1.1,1,1,2017-09-18 08:15:12 UTC,2017-09-18 08:20:06 UTC
5f37198b-996f-474d-b449-89477f587216,1.1,1,1,2017-09-18 08:16:37 UTC,2017-09-18 08:19:00 UTC
ff42989e-5f55-4228-8a88-d68ff9d21b4e,1.1,1,1,2017-09-18 08:17:02 UTC,2017-09-18 08:19:12 UTC
8d1e1586-aab7-46ff-8f54-baa6c066177d,1.1,1,1,2017-09-18 08:17:17 UTC,2017-09-18 08:17:54 UTC
7303690d-ff58-47ad-bcbd-028a09cd4cad,1.1,1,1,2017-09-18 08:19:55 UTC,2017-09-18 08:22:57 UTC
667bb169-9bda-451f-97a8-fa5fe8383c8c,1.1,1,1,2017-09-18 08:20:53 UTC,2017-09-18 11:54:29 UTC
0283d0a3-da0d-4864-9140-bd37f917b81d,1.1,1,1,2017-09-18 08:22:53 UTC,2017-09-18 08:25:12 UTC
80827314-fc19-4b62-8d66-60f44b4b9475,1.1,1,1,2017-09-18 08:28:09 UTC,
e4fa18b0-96de-4854-a712-22b3b71f9121,1.1,1,1,2017-09-18 08:31:48 UTC,2017-09-18 08:34:59 UTC
b030e8c2-3895-4aec-ad69-fa0b6847acf6,1.1,1,1,2017-09-18 08:33:40 UTC,
f4a7a732-9815-406c-9b72-ddacbb6077e2,1.1,1,1,2017-09-18 08:38:17 UTC,2017-09-18 08:46:05 UTC
415ee2fa-8ca8-4a93-aa3e-7111db8a6458,1.1,1,1,2017-09-18 08:40:52 UTC,2017-09-18 08:41:19 UTC
23907671-22d4-4681-a22b-61b26a9dc290,1.1,1,1,2017-09-18 08:42:29 UTC,2017-09-18 08:48:25 UTC
b230ea9e-0b1e-45a8-865a-3148c9018f57,1.1,1,1,2017-09-18 08:47:19 UTC,2017-09-18 09:00:03 UTC
b25a0fdf-0dbd-4375-9f40-1e58421584be,1.1,1,1,2017-09-18 08:48:44 UTC,2017-09-18 08:51:44 UTC
4c309b31-fc2a-42f2-85bd-acf1ab4bbffb,1.1,1,1,2017-09-18 08:51:59 UTC,2017-09-18 08:52:28 UTC
e59884e5-9ea0-4e0c-a5a8-99619a99158c,1.1,1,1,2017-09-18 08:52:09 UTC,2017-09-18 08:55:43 UTC
2ef0cc2d-ae86-43dc-92b3-39ab8ed91d89,1.1,1,1,2017-09-18 08:56:12 UTC,2017-09-18 13:31:28 UTC
1f50dfe9-db7d-4b6c-bbb7-02f30901457d,1.1,1,1,2017-09-18 08:58:27 UTC,2017-09-18 09:00:59 UTC
94c24a97-776f-4f67-99ce-8335f0caf717,1.1,1,1,2017-09-18 09:01:23 UTC,2017-09-18 09:03:08 UTC
defa98cb-deee-4600-9c5e-54871bf19d27,1.1,1,1,2017-09-18 09:02:05 UTC,2017-09-18 09:02:27 UTC
03354775-9dd9-4e8b-bc53-09a342f0e135,1.1,1,1,2017-09-18 09:05:03 UTC,
071ad335-eca4-46f1-b231-97cb3af7e245,1.1,1,1,2017-09-18 09:07:28 UTC,
fd914716-9626-4981-9780-fca85febaacd,1.1,1,1,2017-09-18 09:09:48 UTC,2017-09-18 09:12:25 UTC
7e10b08f-8228-46fe-a84f-f535c5f9e920,1.1,1,1,2017-09-18 09:10:35 UTC,2017-09-18 09:13:04 UTC
5b5d435e-0ac9-428c-82ea-0b88561a47b2,1.1,1,1,2017-09-18 09:27:28 UTC,2017-09-18 09:30:39 UTC
13996e38-8b1c-4e02-b6c8-ad3f0ced01eb,1.1,1,1,2017-09-18 09:27:38 UTC,2017-09-18 09:29:44 UTC
3da83325-e23a-405e-b742-c08e7ad80ada,1.1,1,1,2017-09-18 09:29:45 UTC,2017-09-18 09:31:58 UTC
89e091d6-b92e-4b65-b042-9603c5a8c0a9,1.1,1,1,2017-09-18 09:33:15 UTC,2017-09-18 09:35:16 UTC
3147b0cc-67f1-4a31-bcdf-15a5a0ec279a,1.1,1,1,2017-09-18 09:40:34 UTC,2017-09-18 09:44:52 UTC
182780fd-ae45-4c57-8a9b-35c0267de96d,1.1,1,1,2017-09-18 09:42:57 UTC,
2bca227c-6ab9-4909-8e67-35e84b62a8dc,1.1,1,1,2017-09-18 09:45:03 UTC,2017-09-18 09:47:57 UTC
50f493ad-1a3a-431f-a5ef-bdb64bc65731,1.1,1,1,2017-09-18 10:00:22 UTC,2017-09-18 10:02:33 UTC
16a3f04d-ccaf-4f55-b31d-19bb2f5e49dd,1.1,1,1,2017-09-18 10:01:26 UTC,2017-09-18 10:17:55 UTC
4ae0d3bf-8bd7-4f48-925d-ab9efa305f18,1.1,1,1,2017-09-18 10:08:15 UTC,2017-09-18 10:10:12 UTC
4ce71de2-3a04-448c-8f41-960e929dbef0,1.1,1,1,2017-09-18 10:11:58 UTC,2017-09-18 10:12:16 UTC
2ded2dbe-b900-4cae-b988-256881335c28,1.1,1,1,2017-09-18 10:14:45 UTC,2017-09-18 10:16:35 UTC
fea4577e-db32-4171-914d-a6396a0e92aa,1.1,1,1,2017-09-18 10:15:56 UTC,2017-09-18 10:16:41 UTC
3474bbc1-6de7-4a51-941b-980753835161,1.1,1,1,2017-09-18 10:20:57 UTC,2017-09-25 16:00:42 UTC
3e7baea5-3be4-4476-a7bc-b971175f2368,1.1,1,1,2017-09-18 10:25:08 UTC,2017-09-18 10:26:55 UTC
07f170c5-25fc-455f-958a-9df713c40a15,1.1,1,1,2017-09-18 10:29:55 UTC,2017-09-18 10:30:32 UTC
dace6224-4d46-4317-96bf-66859540ba59,1.1,1,1,2017-09-18 10:32:44 UTC,2017-09-18 14:35:33 UTC
db76a696-7ac0-4c22-af2b-116cfce5c60b,1.1,1,1,2017-09-18 10:43:02 UTC,2017-09-18 10:46:26 UTC
72142c7e-bbcd-4bad-80b5-ad7379cf0b98,1.1,1,1,2017-09-18 10:43:14 UTC,2017-09-18 10:45:20 UTC
6976ae93-ada6-457d-8f63-a561c4b952ed,1.1,1,1,2017-09-18 10:43:24 UTC,2017-09-18 11:20:49 UTC
b759553f-8fd8-4f66-8ecb-baa558341118,1.1,1,1,2017-09-18 10:48:25 UTC,2017-09-18 10:49:23 UTC
05b778c3-01ae-48ee-bd64-6e1d50873633,1.1,1,1,2017-09-18 10:49:49 UTC,
dd8daebe-1aea-46ad-b20a-e183820c0bb1,1.1,1,1,2017-09-18 10:53:09 UTC,2017-09-18 11:12:10 UTC
b94d41f0-5a79-4266-abad-40e809ced99d,1.1,1,1,2017-09-18 11:03:54 UTC,2017-09-18 11:09:22 UTC
9d42e619-6de5-4097-a841-29b2866ae3e1,1.1,1,1,2017-09-18 11:07:49 UTC,2017-10-02 15:10:27 UTC
a99bd1db-3ff8-44c8-9045-aad416425215,1.1,1,1,2017-09-18 11:08:27 UTC,
934f4db3-e032-4458-b953-51cb6df5ab75,1.1,1,1,2017-09-18 11:08:46 UTC,
99ce0c77-d433-47ca-8a31-678b98de9b06,1.1,1,1,2017-09-18 11:20:13 UTC,2017-09-18 11:22:05 UTC
a8101a78-015b-4a64-a1db-2c23723d9740,1.1,1,1,2017-09-18 11:23:52 UTC,2017-09-18 11:25:37 UTC
715d9a61-77c5-470b-85e8-37a7be999f1b,1.1,1,1,2017-09-18 11:33:09 UTC,2017-09-18 11:34:57 UTC
3befdad2-f0ad-445c-ab55-4c73c50d5a8e,1.1,1,1,2017-09-18 11:45:59 UTC,2017-09-18 11:48:58 UTC
f0e0bb65-e61b-47c6-92f5-41897b84acef,1.1,1,1,2017-09-18 12:00:24 UTC,2017-09-24 15:37:01 UTC
249b23f7-1e83-42fe-b993-c6817ec60648,1.1,1,1,2017-09-18 12:04:35 UTC,2017-09-18 12:06:22 UTC
fb3fb4f3-ccf2-4d04-a3d8-8c7670633e38,1.1,1,1,2017-09-18 12:06:59 UTC,2017-09-18 12:12:33 UTC
d81eeb99-4a96-4f46-a46f-43ba6d30d1ef,1.1,1,1,2017-09-18 12:10:22 UTC,2017-09-18 12:11:37 UTC
a5f4a3ae-374c-4702-84a4-5dfec45e7897,1.1,1,1,2017-09-18 12:20:18 UTC,2017-09-18 12:24:25 UTC
77f17ccd-c567-47ad-9ab7-b79fb95e9a35,1.1,1,1,2017-09-18 12:28:00 UTC,2017-09-18 12:34:06 UTC
b5497cc3-cbb1-408d-915c-0952e9fcc5c1,1.1,1,1,2017-09-18 12:37:56 UTC,2017-09-18 12:40:17 UTC
